date,person,exercise,reps
2023-06-11,o,pushups,7
2023-06-11,z,squats,20
2023-06-11,z,pullups,4
2023-06-11,o,pushups,7
2023-06-11,o,pushups,8
2023-06-11,o,pushups,7
2023-06-11,z,pullups,5
2023-06-11,z,pullups,5
2023-06-11,o,pullups,5
2023-06-11,z,pullups,5
2023-06-11,z,squats,21
2023-06-11,o,pullups,5
2023-06-11,o,pullups,5
2023-06-11,z,pushups,10
2023-06-11,z,pushups,15
2023-06-11,z,pushups,25
2023-07-05,z,pullups,5
2023-07-05,o,pushups,6
2023-07-05,z,pullups,10
2023-07-05,o,pushups,7
2023-07-05,z,pullups,9
2023-07-05,o,pushups,6
2023-07-05,z,pullups,7
2023-07-05,o,pushups,8
2023-07-05,z,pullups,7
2023-07-05,o,pushups,5
2023-07-05,z,pullups,5
2023-07-05,z,pushups,19
2023-07-05,z,pushups,16
2023-07-05,o,pullups,5
2023-07-05,o,pullups,6
2023-07-05,z,pushups,20
2023-07-05,o,pullups,5
2023-07-05,o,pullups,4
2023-07-05,z,pushups,20
2023-07-19,z,pullups,8
2023-07-19,z,pullups,7
2023-07-19,z,pullups,8
2023-07-19,z,pullups,7
2023-07-19,z,pullups,6
2023-07-19,z,pushups,20
2023-07-19,z,pushups,20
2023-07-19,z,pushups,20
2023-07-19,z,pushups,14
2023-07-19,z,pushups,12
2023-07-19,z,squats,20
2023-07-19,z,squats,20
2023-07-21,z,pullups,10
2023-07-21,z,pullups,10
2023-07-21,z,pullups,7
2023-07-21,z,pullups,7
2023-07-21,z,pullups,6
2023-07-21,z,pushups,25
2023-07-21,z,pushups,20
2023-07-21,z,pushups,20
2023-07-21,z,pushups,16
2023-07-21,z,pushups,20
2023-07-21,z,planks,60
2023-07-21,z,planks,45
2023-07-25,z,pullups,12
2023-07-25,z,pullups,9
2023-07-25,z,pullups,6
2023-07-25,z,pullups,8
2023-07-25,z,pullups,4
2023-07-25,z,pushups,30
2023-07-25,z,pushups,20
2023-07-25,z,pushups,20
2023-07-25,z,pushups,15
2023-07-25,z,pushups,14
2023-07-25,z,squats,1
2023-07-26,z,pullups,12
2023-07-26,z,pullups,8
2023-07-26,z,pullups,8
2023-07-26,z,pullups,6
2023-07-26,z,pullups,7
2023-07-26,z,pushups,21
2023-07-26,z,pushups,20
2023-07-26,z,pushups,20
2023-07-26,z,pushups,16
2023-07-26,z,pushups,18
2023-07-26,z,squats,20
2023-07-26,z,squats,20
2023-07-26,z,planks,50
2023-07-26,z,planks,51
